",",cropID,",",name,",",sci_name,",",Agr_Ecol_Opt_Soildp_Medium,",",Agr_Ecol_Silt_Max,",",Agr_Ecol_Silt_Min,",",Agr_Ecol_Sand_Max,",",Agr_Ecol_Sand_Min,",",Agr_Ecol_Clay_Max,",",Agr_Ecol_Clay_Min,",",Agr_Ecol_Opt_Temp_Min,",",Agr_Ecol_Opt_Temp_Max,",",Agr_Ecol_Abs_Temp_Min,",",Agr_Ecol_Abs_Temp_Max,",",Agr_Ecol_Opt_Rain_Min,",",Agr_Ecol_Opt_Rain_Max,",",Agr_Ecol_Abst_Rain_Min,",",Agr_Ecol_Abs_Rain_Max,",",Ecocrop_Crop_Cycle_Min,",",Ecocrop_Crop_Cycle_Max
"561,",10001000068,",",Cocoa,",",Theobroma cacao,",",deep (>>150 cm),",",60,",",0,",",65,",",0,",",100,",",35,",21,32,10,38,1200,3000,900,7600,180,365",,,,,,,,,,,,,,,,,,,
"1869,",10001000069,",",Coconut,",",Cocos nucifera,",",deep (>>150 cm),",",100,",",0,",",100,",",0,",",40,",",0,",22,34,14,38,1200,2400,650,4000,270,365",,,,,,,,,,,,,,,,,,,
"588,",10001000070,",",Corn,",",Zea mays,",",medium (50-150 cm),",",100,",",0,",",100,",",0,",",100,",",0,",18,33,10,47,600,1200,400,1800,65,365",,,,,,,,,,,,,,,,,,,
"2022,",10001000071,",",Cucumber,",",Cucumis sativus,",",medium (50-150 cm),",",100,",",0,",",80,",",0,",",40,",",0,",18,32,6,38,1000,1200,400,4300,40,180",,,,,,,,,,,,,,,,,,,
"1969,",10001000072,",",Curry Leaf,",",Murraya koenigii,",",medium (50-150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",27,41,8,47,1400,1800,500,2500,150,300",,,,,,,,,,,,,,,,,,,
"926,",10001000073,",",Jering,",",Archidendron jiringa,",",deep (>>150 cm),",",20,",",0,",",100,",",45,",",55,",",0,",20,30,12,40,2000,3000,1000,4000,365,365",,,,,,,,,,,,,,,,,,,
"2301,",10001000077,",",Durian,",",Durio zibethinus,",",deep (>>150 cm),",",100,",",0,",",80,",",0,",",40,",",0,",22,40,12,45,1500,2500,1200,3500,270,365",,,,,,,,,,,,,,,,,,,
"142,",10001000079,",",Fig Plant,",",Ficus carica,",",deep (>>150 cm),",",100,",",0,",",80,",",0,",",40,",",0,",16,26,4,38,700,1500,300,2700,120,300",,,,,,,,,,,,,,,,,,,
"869,",10001000083,",",Galangal,",",Alpinia galanga,",",medium (50-150 cm),",",50,",",0,",",70,",",50,",",20,",",0,",27,32,20,36,2500,3000,2000,3700,90,365",,,,,,,,,,,,,,,,,,,
"541,",10001000084,",",Green Spinach,",",Spinacia oleracea,",",shallow (20-50 cm),",",50,",",0,",",70,",",50,",",20,",",0,",13,20,2,27,800,1200,300,1700,40,120",,,,,,,,,,,,,,,,,,,
"489,",10001000085,",",Guava,",",Psidium guajava,",",medium (50-150 cm),",",40,",",0,",",100,",",0,",",100,",",0,",20,33,10,45,1000,3000,400,5000,150,365",,,,,,,,,,,,,,,,,,,
"1009,",10001000086,",",Rambai,",",Baccaurea motleyana,",",deep (>>150 cm),",",40,",",0,",",100,",",0,",",100,",",0,",24,28,18,34,1500,3500,1000,4000,365,365",,,,,,,,,,,,,,,,,,,
